date,stock_code,buy_or_sell
2022-02-24,2412,1
2022-03-01,2317,1
2022-03-01,1303,1
2022-03-03,2454,-1
2022-03-04,2317,1
2022-03-07,2308,-1
2022-03-07,2303,-1
2022-03-08,2317,-1
2022-03-08,2412,1
2022-03-08,2454,1
2022-03-09,2454,1
2022-03-10,1303,1
2022-03-14,2454,1
2022-03-15,2454,1
2022-03-15,2303,-1
2022-03-15,2308,-1
2022-03-16,2454,1
2022-03-18,2881,-1
2022-03-23,2308,1
2022-03-24,2317,1
2022-03-24,2891,1
2022-03-28,2303,1
2022-03-28,1303,1
2022-03-29,2308,1
2022-03-29,2412,1
2022-03-29,2454,-1
2022-03-29,2454,-1
2022-03-30,2891,1
2022-03-31,2881,1
2022-04-06,2330,-1
2022-04-07,1303,1
2022-04-07,2891,1
2022-04-08,2454,1
2022-04-12,2317,-1
2022-04-13,2308,-1
2022-04-15,1303,-1
2022-04-18,2317,-1
2022-04-20,2303,-1
2022-04-26,2891,1
2022-04-28,2412,1
2022-05-03,2308,-1
2022-05-03,2891,-1
2022-05-04,2308,-1
2022-05-06,2454,-1
2022-05-06,2412,-1
2022-05-10,2317,1
2022-05-12,2881,1
2022-05-13,2881,1
2022-05-13,2303,1
2022-05-16,2881,1
2022-05-16,2454,-1
2022-05-17,2881,1
2022-05-17,2308,-1
2022-05-18,1303,-1
2022-05-18,2412,-1
2022-05-18,2891,-1
2022-05-18,2881,-1
2022-05-19,2881,1
2022-05-19,2330,-1
2022-05-20,2881,1
2022-05-23,2881,1
2022-05-23,2330,-1
2022-05-24,2881,1
2022-05-24,2891,-1
2022-05-24,2454,-1
2022-05-25,2454,1
2022-05-25,2881,1
2022-05-26,2881,-1
2022-05-30,2303,1
2022-05-30,2303,1
2022-05-30,2303,1
2022-06-01,2330,1
2022-06-02,2317,1
2022-06-07,2317,1
2022-06-07,2308,1
2022-06-07,2412,1
2022-06-09,2891,-1
2022-06-09,2303,1
2022-06-10,1303,1
2022-06-13,2881,-1
2022-06-16,2891,1
2022-06-16,2330,-1
2022-06-17,2303,-1
2022-06-20,2308,-1
2022-06-21,2317,1
2022-06-21,2412,1
2022-06-21,1303,1
2022-06-22,2303,1
2022-06-22,2454,-1
2022-06-23,2303,1
2022-06-23,2412,1
2022-06-24,2303,1
2022-06-24,1303,1
2022-06-27,2303,1
2022-06-27,2330,-1
2022-06-27,2454,1
2022-06-28,2454,1
2022-06-28,2303,1
2022-06-29,2303,1
2022-06-29,2308,-1
2022-06-29,2454,1
2022-06-29,2891,-1
2022-06-30,2454,1
2022-06-30,2317,-1
2022-06-30,2303,1
2022-07-01,2303,1
2022-07-01,1303,-1
2022-07-01,2454,1
2022-07-01,2330,1
2022-07-04,2330,1
2022-07-04,2454,1
2022-07-04,2303,1
2022-07-04,2412,1
2022-07-05,2303,-1
2022-07-05,2330,1
2022-07-05,2454,-1
2022-07-06,2330,1
2022-07-06,2454,1
2022-07-06,2881,-1
2022-07-06,1303,1
2022-07-06,2303,1
2022-07-07,1303,1
2022-07-07,2303,-1
2022-07-07,2330,-1
2022-07-07,2454,1
2022-07-08,2454,1
2022-07-08,2412,-1
2022-07-08,1303,1
2022-07-11,1303,1
2022-07-11,2454,1
2022-07-12,2454,1
2022-07-12,1303,1
2022-07-12,2303,1
2022-07-13,1303,1
2022-07-13,2308,1
2022-07-13,2891,-1
2022-07-14,2891,1
2022-07-14,1303,1
2022-07-15,1303,-1
2022-07-15,2891,1
2022-07-18,2891,-1
2022-07-18,1303,1
2022-07-19,1303,1
2022-07-20,1303,1
2022-07-22,2330,1
2022-07-25,2412,-1
2022-07-25,2454,1
2022-07-26,2330,1
2022-07-26,2308,1
2022-07-26,2303,-1
2022-07-27,2881,-1
2022-07-28,2303,-1
2022-07-29,2303,1
2022-07-29,2308,1
2022-07-29,2891,-1
2022-08-02,2317,1
2022-08-03,2412,-1
2022-08-03,1303,1
2022-08-05,1303,1
2022-08-05,2330,1
2022-08-11,2891,1
2022-08-11,2303,1
2022-08-12,2308,1
2022-08-12,2330,1
2022-08-12,2412,1
2022-08-12,2881,1
2022-08-15,2454,1
2022-08-17,2308,1
2022-08-19,2330,1
2022-08-19,2891,1
2022-08-22,2454,-1
2022-08-22,2412,1
2022-08-23,1303,1
2022-08-25,2303,1
2022-08-25,2891,1
2022-08-26,2881,1
2022-08-26,2330,1
2022-08-26,2317,1
2022-08-29,2412,1
2022-09-02,2330,-1
2022-09-02,2308,-1
2022-09-02,2317,-1
2022-09-02,2412,-1
2022-09-05,2303,-1
2022-09-06,2881,-1
2022-09-07,1303,-1
2022-09-08,2881,-1
2022-09-08,2454,-1
2022-09-08,2891,-1
2022-09-14,2317,-1
2022-09-15,2330,-1
2022-09-16,2308,-1
2022-09-21,2317,-1
2022-09-21,2308,1
2022-09-23,2891,-1
2022-09-26,2412,-1
2022-09-28,2881,1
2022-09-28,2454,1
2022-09-30,2454,-1
2022-10-03,2330,1
2022-10-03,2881,1
2022-10-04,2891,-1
2022-10-04,2330,-1
2022-10-05,1303,1
2022-10-05,2881,-1
2022-10-06,2454,-1
2022-10-06,2308,1
2022-10-07,2303,-1
2022-10-11,2317,-1
2022-10-11,2330,-1
2022-10-12,2330,1
2022-10-13,2330,1
2022-10-14,2412,-1
2022-10-18,2317,-1
2022-10-19,1303,-1
2022-10-20,2412,-1
2022-10-24,1303,1
2022-10-25,2303,1
2022-10-25,2330,1
2022-10-25,2454,-1
2022-10-27,2454,1
2022-10-27,2330,-1
2022-10-28,2317,1
2022-10-31,1303,1
2022-10-31,2881,1
2022-10-31,2891,1
2022-11-02,2412,-1
2022-11-04,2881,1
2022-11-10,2881,1
2022-11-10,2412,-1
2022-11-11,2330,1
2022-11-11,2454,-1
2022-11-14,2454,-1
2022-11-15,2454,-1
2022-11-15,2412,1
2022-11-15,2303,-1
2022-11-16,1303,1
2022-11-16,2330,-1
2022-11-16,2454,-1
2022-11-16,2881,1
2022-11-17,2454,-1
2022-11-17,2330,-1
2022-11-18,2330,-1
2022-11-18,2454,1
2022-11-18,2303,1
2022-11-21,2330,-1
2022-11-22,2330,-1
2022-11-22,2308,1
2022-11-23,2412,1
2022-11-25,1303,1
2022-12-02,2881,1
2022-12-05,2308,1
2022-12-05,2317,1
2022-12-09,2454,1
2022-12-13,2303,-1
2022-12-14,2317,1
2022-12-15,2317,-1
2022-12-15,2330,-1
2022-12-15,2454,-1
2022-12-16,1303,-1
2022-12-19,2303,-1
2022-12-19,2412,1
2022-12-19,2308,-1
2022-12-22,2412,1
2022-12-22,1303,-1
2022-12-23,2454,-1
2022-12-23,2881,-1
2022-12-23,2891,-1
2022-12-26,1303,-1
2022-12-27,2454,-1
2022-12-30,2330,-1
2023-01-09,2317,-1
2023-01-09,2881,1
2023-01-11,2891,1
2023-01-11,2412,1
2023-01-11,1303,1
2023-01-11,2303,1
